claim_id,claim,status,required_evidence,artifact,limitation
C1,Gate synthesis recovers compact local Boolean structure,verified,Full truth-table accuracy and expression size across held-out combinations,results/predicate_results.csv,Synthetic finite predicate only
C2,Compiled bit operations reduce resource use,verified,Timing and explicit-buffer accounting with unpacked versus packed inputs,results/efficiency_results.csv,CPU/NumPy prototype not hardware PPA
C11,Bounded learners can recover variables operators and relation-type topology beyond a fixed AND rule,verified,Five-seed multi-rule distractor composition and task-only reachability experiments,results/logic_discovery_results.csv,Finite candidate library and synthetic topology vocabulary
C12,MCR2 rate reduction is measurable but not identical to literal bit or gate complexity,verified,Five-seed objective flow plus entropy distortion sparsity and synthesized-gate accounting,results/rate_reduction_results.csv,Controlled NumPy proxy not full ReduNet or CRATE
C13,Discrete rate reduction is an operational prefix-code saving rather than a language-free Boolean entropy,planned,Kraft checks side-information controls basis-change controls and routed fallback,results/discrete_representation_code_results.csv;results/discrete_theory_checks.json,Code lengths remain conditional on a public meta-language and dimensions
C14,Exact small-function synthesis separates balanced parity from the balanced Boolean population under a fixed formula basis,planned,Complete four-input formula catalog and balanced-function gate histogram,results/exact_formula_balanced4_results.csv,Minimum formula tree only; not minimum DAG or hardware cost
C15,Multi-language Circuit-MDL routes structured rules to compact languages and leaves incompressible LUTs raw,planned,Exact function codes plus model and residual task codes across ANF threshold ROBDD formula and raw routes,results/discrete_function_mdl_results.csv;results/discrete_task_mdl_results.csv,Finite synthetic truth tables; route grammar is fixed before data
C3,Oracle local gate plus BFS handles longer paths than fixed-depth circuit,verified,Reachability accuracy by path length,results/reachability_results.csv,BFS is hand-coded symbolic solver and local rule is oracle
C4,Hardening loses uncertainty and grounding robustness,verified,Brier score and accuracy across uncertainty/noise levels,results/noise_results.csv,Independent Bernoulli noise model
C5,Logic gates do not imply universal symbolic reasoning,verified,Fixed-depth counterexample and report limitations,results/reachability_results.csv,Does not cover all solver families
C6,Learned soft gates can be hardened and connected to a symbolic BFS in the controlled local-rule setting,verified,Soft-vs-hardened local OOD metrics and learned-gate BFS results,results/learned_gate_results.csv;results/learned_gate_bfs_results.csv,Fixed wiring and synthetic clean predicates; no perceptual end-to-end guarantee
C7,State transitions extend gate computation to variable-length cyclic traversal,verified,Fixed-K versus loop-until-fixed-point accuracy and query timing,results/state_transition_results.csv,Finite state and memory remain necessary; not a universal proof or planner engine
C8,Noncompressible rules and probability marginalization resist compact hardening,verified,Random-LUT/parity scaling and exact-versus-hard probability results,results/noncompressible_scaling_results.csv;results/probability_marginalization_results.csv,Parity closed form is a controlled semiring case; general WMC remains unmeasured
C9,Looped frontier control recovers bounded monotone planning/proof search beyond fixed K,verified,Planning frontier accuracy and expansion/time results,results/planning_frontier_results.csv,Proxy is not a complete planner or SAT/SMT solver
C10,Raw rendered pixels can be grounded into named predicates and composed with a learned gate and symbolic solver in a complete gridworld inference pipeline,verified,Task accuracy calibration grounding localization fallback and latency across clean correlated corruption and size OOD,results/end_to_end_gridworld_results.csv;results/end_to_end_gridworld_metadata.json,Component-supervised synthetic visual task with fixed four-neighbor topology and BFS
L1,Neuro-symbolic systems combine neural learning with symbolic reasoning,verified,Primary survey and method citations,reports/references.md,Field taxonomy evolves
L2,Knowledge compilation trades offline circuit construction for tractable circuit queries,verified,DNNF/SDD and WMC citations,reports/references.md,Guarantees require circuit structure
L3,DLGN deployment and training have different computational properties,verified,DLGN and Conv-DLGN citations,reports/references.md,Published benchmarks differ from this prototype
