Claim_ID,Evidence_ID,Evidence_Type,Required_Evidence,Planned_Artifact,Status,Source_or_Protocol,Decision_Gate
C1,EXP-C1-M04A,experiment,"Pre-registered global masked-grid source freeze with exact data; model; sampler; trace and cost closure before oracle evaluation",results/m04a_global_source_v1,planned,"notes/design/m04a-global-masked-grid-contract.md; sanitized ARC-AGI-2/ReARC train and clean-validation shards; fixed full-20 blind pool","Report source-only; DSL-only; union and marginal exact coverage even if marginal gain is zero; no local-repair; routing; holdout or public-evaluation claim"
C1,LIT-C1-REFINE,verified_citation,"Prior evidence that per-task generate-execute-verify-refine loops are effective and central in ARC","notes/literature/literature-map.md",verified,"https://arxiv.org/abs/2601.10904","Supports motivation only; does not verify C1"
C1,LIT-C1-HET,verified_citation,"Prior evidence for heterogeneous candidate generation and holistic selection under a distinct semi-private protocol","notes/literature/literature-map.md",verified,"https://arxiv.org/abs/2606.31543","Supports heterogeneous search; protocol must not be conflated with Kaggle"
C1,EXP-C1-E01A-SHAPE,diagnostic,"Source-bound failure-driven symbolic coverage control before controller training","results/e01a_shape_v1",verified,"Blind axis-integer shape proposals plus typed scale/tile; fixed 20-task ARC-AGI-2 public-training development smoke; full parent replay","Improves post-hoc development coverage from 2/20 to 4/20 but leaves 16 empty pools; does not verify adaptive switching or holdout generalization"
C1,EXP-C1-E01A-PANEL,diagnostic,"Source-bound failure-driven panel parsing and ordered-overlay control before controller training","results/e01a_panel_v1",verified,"Independent full-span separator/panel sidecar plus typed ordered transparent overlay; identical fixed 20-task ARC-AGI-2 public-training development smoke; full parent replay","Improves post-hoc development coverage from 4/20 to 5/20 and represents the ragged lattice in 92e50de0 without solving it; does not verify adaptive switching or holdout generalization"
C1,EXP-C1-E01A-PANEL-D4,diagnostic,"Source-bound failure-driven indexed panel-sequence D4 control before controller training","results/e01a_panel_d4_v1",verified,"Typed relative-index D4 group action over unchanged single-axis M02b panel views; identical fixed 20-task ARC-AGI-2 public-training development smoke; proposal/cost/cap ledger and full parent replay","Improves post-hoc development coverage from 5/20 to 6/20 by solving 8e5a5113 while preserving the prior five tasks; 92e50de0 remains outside scope; does not verify adaptive switching, heterogeneous sources, or holdout generalization"
C1,EXP-C1-E01A-PANEL-PERIODIC,diagnostic,"Failure-driven two-axis periodic panel broadcast control before controller training","results/e01a_panel_periodic_v1",verified,"Typed relative-period lattice broadcast with bottom/right suffix clipping over unchanged M02b views; identical fixed 20-task ARC-AGI-2 public-training development smoke; structural/proposal/cost/cap ledger and full parent replay","Improves post-hoc development coverage from 6/20 to 7/20 by solving 92e50de0 while preserving the prior six tasks; same caps use 48,177 expansions and 218,637 executions; does not verify adaptive switching, heterogeneous sources, arbitrary stamping, or holdout generalization"
C1,EXP-C1-E01A-BBOX-CONTACT,diagnostic,"Failure-driven M02c axis-ray relation and M05f contact-render control before controller training","results/e01a_bbox_contact_v1",verified,"Pre-registered replayed relation sidecar plus paint_bbox_contacts(background); identical fixed 20-task ARC-AGI-2 public-training development smoke; full parent and cost-ledger replay","Improves post-hoc development coverage from 7/20 to 8/20 by solving only 1f642eb9 while preserving the prior seven tasks at unchanged 48,177 expansions and 218,637 program executions; does not verify adaptive switching, nearest-anchor motion, heterogeneous sources, or holdout generalization"
C1,EXP-C1-MAIN,experiment,"Pre-registered online matched-budget comparison on a 150-task ARC-AGI-2 public-training holdout","results/c1_matched_budget_main.csv",planned,"XGBoost next-action controller versus validation-tuned static weighted schedule; 180 seconds/task; fixed hardware; generators; action space and seeds","C1 survives only if official two-attempt pair-fraction delta is at least 0.02 and paired task-bootstrap 95% CI lower bound exceeds zero"
C1,EXP-C1-BUDGET,experiment,"Accuracy-cost curves across at least four per-task budgets","results/c1_budget_frontier.csv",planned,"Identical task order and stopping rules for all controllers","Report Pareto frontier rather than a single favorable budget"
