experiment,reproduction_level,training_reproduction,pages_commit,task,condition,artifact,input_layout,method,seed,size,steps,samples,local_accuracy,local_balanced_accuracy,cell_accuracy,channel0_accuracy,full_state_accuracy,exact_final_state,exact_full_state,first_divergence_step,runtime_seconds,logic_node_count,paper_reported_active_gates_excluding_passthrough,equivalent_functional_gates,critical_depth,raw_connector_count,unique_connector_count,artifact_sha256,note,damage_steps,release_steps,damage_side,damage_channel0_accuracy,recovery_gain
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,game_of_life,all_512_local_transitions,gol_circuit.json,spatial_major_f*C+c (C=1),OfficialFrozenDigitalJS,-1,3,1,512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0009182000067085028,223,336,,19,4215,435,82d59f04ca8164ba31fdb12314ee147dec3c8a073b632aeced0ef1581acfecba,Released output-reachable hard circuit; the paper's 336 active-gate count uses a different artifact/counting scope.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,game_of_life,random_periodic_rollout,gol_circuit.json,spatial_major_f*C+c (C=1),OfficialFrozenDigitalJS,25006,128,300,4915200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.1908892998471856,223,336,,19,4215,435,82d59f04ca8164ba31fdb12314ee147dec3c8a073b632aeced0ef1581acfecba,Matches the paper's 128x128/300-step deployment scale in full mode.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,clean_sync,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,0,16,20,256,,,1.0,1.0,0.720703125,1.0,0.0,,0.01127370004542172,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,Notebook loss supervises channel 0 only; hidden-channel accuracy is diagnostic. Six released nodes include one removable same-input AND.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,clean_sync,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,1,16,20,256,,,1.0,1.0,0.716796875,1.0,0.0,,0.006380699807778001,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,Notebook loss supervises channel 0 only; hidden-channel accuracy is diagnostic. Six released nodes include one removable same-input AND.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,clean_sync,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,2,16,20,256,,,1.0,1.0,0.71923828125,1.0,0.0,,0.010156699921935797,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,Notebook loss supervises channel 0 only; hidden-channel accuracy is diagnostic. Six released nodes include one removable same-input AND.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,clean_sync,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,3,16,20,256,,,1.0,1.0,0.716796875,1.0,0.0,,0.0055958000011742115,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,Notebook loss supervises channel 0 only; hidden-channel accuracy is diagnostic. Six released nodes include one removable same-input AND.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,clean_sync,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,4,16,20,256,,,1.0,1.0,0.7158203125,1.0,0.0,,0.010006200056523085,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,Notebook loss supervises channel 0 only; hidden-channel accuracy is diagnostic. Six released nodes include one removable same-input AND.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,clean_sync,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,0,64,80,4096,,,1.0,1.0,0.694000244140625,1.0,0.0,,0.22497219988144934,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,Notebook loss supervises channel 0 only; hidden-channel accuracy is diagnostic. Six released nodes include one removable same-input AND.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,clean_sync,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,1,64,80,4096,,,1.0,1.0,0.69378662109375,1.0,0.0,,0.2123098000884056,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,Notebook loss supervises channel 0 only; hidden-channel accuracy is diagnostic. Six released nodes include one removable same-input AND.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,clean_sync,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,2,64,80,4096,,,1.0,1.0,0.69390869140625,1.0,0.0,,0.35587300010956824,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,Notebook loss supervises channel 0 only; hidden-channel accuracy is diagnostic. Six released nodes include one removable same-input AND.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,clean_sync,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,3,64,80,4096,,,1.0,1.0,0.694122314453125,1.0,0.0,,0.2164245001040399,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,Notebook loss supervises channel 0 only; hidden-channel accuracy is diagnostic. Six released nodes include one removable same-input AND.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,clean_sync,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,4,64,80,4096,,,1.0,1.0,0.693817138671875,1.0,0.0,,0.18820560001768172,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,Notebook loss supervises channel 0 only; hidden-channel accuracy is diagnostic. Six released nodes include one removable same-input AND.,,,,,
E18,released_hard_circuit_semantic_reproduction,not_claimed,4c0246d9f7a2912cb7201f6bfe5fcda0fe373904,checkerboard,async_fire_0.6,checkerboard.json,channel_major_c*9+f,OfficialFrozenDigitalJS,0,16,100,256,,,1.0,1.0,0.7177734375,1.0,0.0,,0.041315700160339475,6,22,5.0,4,19,19,8a22e6e1d4d2f4b284ea4d2818cfb87a939df82f1d318c101f42a8d18a134c58,"NumPy default_rng (PCG64), seed, and fire rate are public; this is not the notebook's JAX PRNG stream and the schedule is not learned topology.",,,,,
