suite,seed,task,method,global_rate_bits,within_rate_bits,rate_reduction_bits,zero_fraction,subspace_coherence,empirical_code_entropy_bits,fixed_code_bits,reconstruction_mse,classification_accuracy,ood_accuracy,gate_count,boolean_accuracy,projection_parameters,standard_qkv_parameters,parameter_ratio_vs_qkv,output_norm,expression,sign_flip_rate
booleanization,0,random_lut,RawBits,9.287712379549449,9.233612213112261,0.054100166437187625,0.0,,8.0,8.0,6.294206222553146e-13,,,6.0,0.640625,,,,,((~x0 XOR (~x4 AND x6)) OR ((x2 XOR x6) AND (x5 OR x7))),0.0
booleanization,0,random_lut,RateReducedSign,9.287654116572732,9.182478034488287,0.10517608208444429,0.0,,8.0,8.0,6.294206222553146e-13,,,6.0,0.640625,,,,,((~x0 XOR (~x4 AND x6)) OR ((x2 XOR x6) AND (x5 OR x7))),0.0
union_subspaces,1,three_class_subspaces,Raw,10.185255798934131,6.486952978029566,3.6983028209045647,0.0,0.9100383129487232,7.028187722710582,12.0,0.01570333969459918,1.0,,,,,,,,,
union_subspaces,1,three_class_subspaces,MCR2Flow,11.061876896961902,6.246855544158226,4.815021352803676,0.0,0.7171119424981287,6.978506546932464,12.0,0.015386766483152188,1.0,,,,,,,,,
union_subspaces,1,three_class_subspaces,MCR2Flow+ISTA,11.473740025741238,7.347067366609423,4.126672659131815,0.484375,0.8022826949612546,6.538893329572723,12.0,0.022385422872584396,1.0,,,,,,,,,
shared_projection_attention,1,parameter_accounting,SharedSubspaceMSSAProxy,,,,,,,,,,,,,144.0,432.0,0.3333333333333333,19.474914366909225,,
booleanization,1,and2,RawBits,9.287712379549449,9.063562708831839,0.22414967071761005,0.0,,8.0,8.0,6.294206222553146e-13,,,1.0,1.0,,,,,(x0 AND x1),0.0
booleanization,1,and2,RateReducedSign,9.285633164245985,8.99733519488139,0.28829796936459395,0.0,,8.0,8.0,6.294206222553146e-13,,,1.0,1.0,,,,,(x0 AND x1),0.0
booleanization,1,majority3,RawBits,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,4.0,1.0,,,,,((x0 AND (x1 OR x2)) OR (x1 AND x2)),0.0
booleanization,1,majority3,RateReducedSign,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,4.0,1.0,,,,,((x0 AND (x1 OR x2)) OR (x1 AND x2)),0.0
booleanization,1,parity4,RawBits,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.75,,,,,(((~x2 AND x3) XOR (~x0 AND x1)) XOR ((~x1 AND ~x2) XOR (~x0 AND ~x3))),0.0
booleanization,1,parity4,RateReducedSign,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.75,,,,,(((~x2 AND x3) XOR (~x0 AND x1)) XOR ((~x1 AND ~x2) XOR (~x0 AND ~x3))),0.0
booleanization,1,random_lut,RawBits,9.287712379549449,9.238605848994599,0.049106530554849925,0.0,,8.0,8.0,6.294206222553146e-13,,,6.0,0.66015625,,,,,(((~x0 AND ~x5) XOR (~x6 AND ~x7)) XOR (x0 AND (x3 XOR x5))),0.0
booleanization,1,random_lut,RateReducedSign,9.287658273557865,9.19271188166785,0.09494639189001397,0.0,,8.0,8.0,6.294206222553146e-13,,,6.0,0.66015625,,,,,(((~x0 AND ~x5) XOR (~x6 AND ~x7)) XOR (x0 AND (x3 XOR x5))),0.0
union_subspaces,2,three_class_subspaces,Raw,10.455597984409446,6.462544069994104,3.9930539144153414,0.0,0.7828644328800567,7.231365121244341,12.0,0.01478726861441354,1.0,,,,,,,,,
union_subspaces,2,three_class_subspaces,MCR2Flow,11.242926381091646,6.239033572073774,5.003892809017872,0.0,0.5918528018271199,7.094803204218477,12.0,0.014573962555458422,1.0,,,,,,,,,
union_subspaces,2,three_class_subspaces,MCR2Flow+ISTA,11.705847345824957,7.574739262651461,4.131108083173496,0.4830729166666667,0.7315184058251192,6.652362512843327,12.0,0.02290460703786475,1.0,,,,,,,,,
shared_projection_attention,2,parameter_accounting,SharedSubspaceMSSAProxy,,,,,,,,,,,,,144.0,432.0,0.3333333333333333,14.398861771911074,,
booleanization,2,and2,RawBits,9.287712379549449,9.063562708831839,0.22414967071761005,0.0,,8.0,8.0,6.294206222553146e-13,,,1.0,1.0,,,,,(x0 AND x1),0.0
booleanization,2,and2,RateReducedSign,9.285633164245985,8.99733519488139,0.28829796936459395,0.0,,8.0,8.0,6.294206222553146e-13,,,1.0,1.0,,,,,(x0 AND x1),0.0
booleanization,2,majority3,RawBits,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,4.0,1.0,,,,,((x0 AND (x1 OR x2)) OR (x1 AND x2)),0.0
booleanization,2,majority3,RateReducedSign,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,4.0,1.0,,,,,((x0 AND (x1 OR x2)) OR (x1 AND x2)),0.0
booleanization,2,parity4,RawBits,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.75,,,,,(((~x2 AND x3) XOR (~x0 AND x1)) XOR ((~x1 AND ~x2) XOR (~x0 AND ~x3))),0.0
booleanization,2,parity4,RateReducedSign,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.75,,,,,(((~x2 AND x3) XOR (~x0 AND x1)) XOR ((~x1 AND ~x2) XOR (~x0 AND ~x3))),0.0
booleanization,2,random_lut,RawBits,9.287712379549449,9.24576438958788,0.04194798996156912,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.64453125,,,,,(((~x0 AND ~x4) XOR (x5 AND ~x6)) OR ((x1 XOR x7) AND (x1 OR x3))),0.0
booleanization,2,random_lut,RateReducedSign,9.287666980267161,9.206476553744746,0.08119042652241504,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.64453125,,,,,(((~x0 AND ~x4) XOR (x5 AND ~x6)) OR ((x1 XOR x7) AND (x1 OR x3))),0.0
union_subspaces,3,three_class_subspaces,Raw,10.798120158090702,6.502867854897419,4.295252303193283,0.0,0.8282980095926025,7.204359871499763,12.0,0.015035799155905243,1.0,,,,,,,,,
union_subspaces,3,three_class_subspaces,MCR2Flow,11.435985304850846,6.256809084509722,5.179176220341123,0.0,0.637041927514325,7.123157500004867,12.0,0.014751746464857976,1.0,,,,,,,,,
union_subspaces,3,three_class_subspaces,MCR2Flow+ISTA,11.943540361917899,7.69944135511071,4.244099006807189,0.4385850694444444,0.7051660216313312,6.674689719268392,12.0,0.02309433660791569,1.0,,,,,,,,,
shared_projection_attention,3,parameter_accounting,SharedSubspaceMSSAProxy,,,,,,,,,,,,,144.0,432.0,0.3333333333333333,17.310206819744693,,
booleanization,3,and2,RawBits,9.287712379549449,9.063562708831839,0.22414967071761005,0.0,,8.0,8.0,6.294206222553146e-13,,,1.0,1.0,,,,,(x0 AND x1),0.0
booleanization,3,and2,RateReducedSign,9.285633164245985,8.99733519488139,0.28829796936459395,0.0,,8.0,8.0,6.294206222553146e-13,,,1.0,1.0,,,,,(x0 AND x1),0.0
booleanization,3,majority3,RawBits,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,4.0,1.0,,,,,((x0 AND (x1 OR x2)) OR (x1 AND x2)),0.0
booleanization,3,majority3,RateReducedSign,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,4.0,1.0,,,,,((x0 AND (x1 OR x2)) OR (x1 AND x2)),0.0
booleanization,3,parity4,RawBits,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.75,,,,,(((~x2 AND x3) XOR (~x0 AND x1)) XOR ((~x1 AND ~x2) XOR (~x0 AND ~x3))),0.0
booleanization,3,parity4,RateReducedSign,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.75,,,,,(((~x2 AND x3) XOR (~x0 AND x1)) XOR ((~x1 AND ~x2) XOR (~x0 AND ~x3))),0.0
booleanization,3,random_lut,RawBits,9.287712379549449,9.223303521812587,0.06440885773686134,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.6640625,,,,,(((x3 AND x5) XOR (~x0 AND x2)) OR ((x0 XOR ~x1) AND (x0 OR x5))),0.0
booleanization,3,random_lut,RateReducedSign,9.287659288130593,9.162063089988383,0.12559619814221,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.6640625,,,,,(((x3 AND x5) XOR (~x0 AND x2)) OR ((x0 XOR ~x1) AND (x0 OR x5))),0.0
union_subspaces,4,three_class_subspaces,Raw,10.160083903943397,6.474559416823876,3.6855244871195207,0.0,0.9154798077616823,7.052259944529538,12.0,0.013917739718497305,1.0,,,,,,,,,
union_subspaces,4,three_class_subspaces,MCR2Flow,11.062495694623612,6.2603492802556655,4.802146414367947,0.0,0.7312157380347538,7.0683939477979925,12.0,0.013898854455725156,1.0,,,,,,,,,
union_subspaces,4,three_class_subspaces,MCR2Flow+ISTA,11.467114535909333,7.7694936011707,3.6976209347386337,0.4379340277777778,0.8199524901723526,6.6285346908296106,12.0,0.019931654112389063,1.0,,,,,,,,,
shared_projection_attention,4,parameter_accounting,SharedSubspaceMSSAProxy,,,,,,,,,,,,,144.0,432.0,0.3333333333333333,18.03158881052194,,
booleanization,4,and2,RawBits,9.287712379549449,9.063562708831839,0.22414967071761005,0.0,,8.0,8.0,6.294206222553146e-13,,,1.0,1.0,,,,,(x0 AND x1),0.0
booleanization,4,and2,RateReducedSign,9.285633164245985,8.99733519488139,0.28829796936459395,0.0,,8.0,8.0,6.294206222553146e-13,,,1.0,1.0,,,,,(x0 AND x1),0.0
booleanization,4,majority3,RawBits,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,4.0,1.0,,,,,((x0 AND (x1 OR x2)) OR (x1 AND x2)),0.0
booleanization,4,majority3,RateReducedSign,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,4.0,1.0,,,,,((x0 AND (x1 OR x2)) OR (x1 AND x2)),0.0
booleanization,4,parity4,RawBits,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.75,,,,,(((~x2 AND x3) XOR (~x0 AND x1)) XOR ((~x1 AND ~x2) XOR (~x0 AND ~x3))),0.0
booleanization,4,parity4,RateReducedSign,9.287712379549449,9.287712379549449,0.0,0.0,,8.0,8.0,6.294206222553146e-13,,,7.0,0.75,,,,,(((~x2 AND x3) XOR (~x0 AND x1)) XOR ((~x1 AND ~x2) XOR (~x0 AND ~x3))),0.0
booleanization,4,random_lut,RawBits,9.287712379549449,9.233333981329785,0.05437839821966328,0.0,,8.0,8.0,6.294206222553146e-13,,,6.0,0.6640625,,,,,((x5 XOR (x2 XOR x7)) AND ((x0 OR x6) AND (x3 NAND ~x7))),0.0
booleanization,4,random_lut,RateReducedSign,9.287665122661526,9.182273752550781,0.10539137011074473,0.0,,8.0,8.0,6.294206222553146e-13,,,6.0,0.6640625,,,,,((x5 XOR (x2 XOR x7)) AND ((x0 OR x6) AND (x3 NAND ~x7))),0.0
