experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes
E01,predicate_rule_learning,C1,enumerated 8-bit truth tables,OOD and full-table accuracy;gate count,MLP;TruthMemorizer;OracleRule,GateBeam,Compositional rules recover more reliably than random LUTs,verified,Ten paired data splits for each family and training fraction
E02,compiled_inference,C2,synthetic Boolean batches,median time;throughput;input bytes,float_tnorm;bool_numpy,packed_kernel and packed_end_to_end,Kernel benefits require prepacked repeated inputs,verified,CPU NumPy only; no PPA claim
E13,logic_discovery,C11,enumerated truth tables and synthetic attributed graphs,balanced accuracy;operator input and topology recovery;hardening rejection;description bits,FixedAND;TinyMLP,DifferentiableGateSelector and task-only finite search,Recover varied compact rules and reject mismatched one-gate hypotheses,verified,Five seeds; graph search uses only reachability labels but finite candidate relation types
E14,rate_reduction_booleanization,C12,synthetic subspaces and 8-bit Boolean truth tables,log-det rates;coherence;sparsity;empirical entropy;distortion;gate count,RawBits;RawSubspaces,MCR2Flow and MCR2Flow+ISTA,Rate reduction improves subspace geometry but need not order literal bit or gate cost,verified,Five seeds; base-2 Gaussian finite-sample proxy; not full ReduNet or CRATE
E15,discrete_representation_coding,C13,binary code matrices with redundant and invertible bases,KT and joint code bits;signed reduction;routed reduction,IndependentKT;JointDirichletKT,side-information-aware Boolean coding rate reduction,Expose basis dependence finite-sample regret and partition-cost asymmetry,verified,Public dimensions; Y evaluated both as side information and encoded data
E16,exact_formula_population,C14,all 65536 four-input functions and all 12870 balanced functions,minimum formula gate histogram;coverage;parity percentile,GateBeam heuristic,ExactFormulaCatalog,Parity is short while most balanced functions need larger formulas,verified,Fixed formula basis and free constants; complete cost layers through gate 8
E17,multilanguage_circuit_mdl,C15,structured and random truth-table families at 3 4 and 6 inputs,function prefix bits;task residual bits;safe gain;language route,RawTruthTable;KTLabels;Literal;SingleGate;ANF;ROBDD;Threshold,MultiLanguageMDL,Structured families route compactly and random LUTs retain raw escape,verified,Language tags and residual error counts are explicitly coded
E03,relation_filtering,C2,synthetic colored positioned objects,median time;candidate ratio;semantic equality,dense_boolean_gate;indexed_gate_filter,Indexed local Boolean filter,Indexing reduces candidate count but may lose at small N to overhead,verified,Exact relation counts checked against dense method
E04,reachability_depth,C3,layered directed graphs,balanced accuracy;positive accuracy,FixedKReach;OracleBFS,OracleGate plus BFS,Fixed K fails for paths longer than K while BFS remains correct,verified,Constructive depth limitation rather than learned-edge evaluation
E05,grounding_noise,C4,independent predicate bit-flip channel,accuracy;Brier score,HardGate;SoftProbabilityCircuit,hard versus uncertainty-preserving local evaluation,Hard decisions lose calibration as noise grows,verified,Soft method assumes known independent error rate
