name,paper_title,arxiv_id,code_url,category,datasets_tested,metrics_reported,strengths,weaknesses,selected,selection_reason
B00_identity_and_D4,repository-local,none,planned_local,sanity,"ARC-AGI-1/2 public training smoke","official pair fraction; oracle D4 coverage","Deterministic; zero learned parameters; validates scorer","Not a meaningful general ARC solver",yes,"Required harness control"
B01_unguided_typed_DSL,repository-local,none,planned_local,symbolic,"Synthetic OOD; ARC public-training holdout","coverage; expansions; exact score","Exposes raw DSL coverage","Combinatorial search and DSL ceiling",yes,"Separates representation coverage from neural guidance"
B02_execution_guided_DSL,"Out-of-Distribution Generalization in the ARC-AGI Domain",2507.15877,https://github.com/SimonOuellette35/OODGenARC-AGI,symbolic,"Controlled synthetic OOD; limited ARC training tasks","success rate; search time","Direct execution-state precedent","Published comparison changes DSL and search together",yes,"Strong principle baseline with protocol caveat"
B03_masked_grid_one_shot,"The ARChitects ARC Prize 2025 Solution",none,https://github.com/LambdaLabsML/ARC2025_Solution_by_the_ARChitects,neural,"ARC-AGI-2 author and contest sets","exact score; sampling calls","Direct masked-grid candidate source","Final end-to-end sampler is not fully open",yes,"Separates masked generation from recursion"
B04_masked_grid_recursive_restart,"The ARChitects ARC Prize 2025 Solution",none,https://github.com/LambdaLabsML/ARC2025_Solution_by_the_ARChitects,neural,"ARC-AGI-2 author and contest sets","exact score; recursive steps","Strong global soft-mask and cold-restart reference","Shape bottleneck; late unstable recursion",yes,"Required repair baseline"
B05_remasking,"Remasking Discrete Diffusion Models with Inference-Time Scaling",2503.00307,https://arxiv.org/abs/2503.00307,neural,"Discrete generation benchmarks","quality versus inference compute","Principled remasking","Not ARC-specific",yes,"Strong baseline against heuristic local masks"
B06_LLM_code_best_of_n,BARC,2411.02272,https://arxiv.org/abs/2411.02272,program,"ARC-AGI-1","program pass rate; exact score","Open-ended executable hypotheses","Model exposure; API cost and reproducibility",yes,"Measures DSL-external coverage"
B07_static_round_robin,repository-local,none,planned_local,controller,"ARC public-training holdout","official score; wall time","Simple fixed heterogeneous schedule","Cannot adapt budget to evidence",yes,"Primary lower control for switching"
B08_static_weighted_schedule,repository-local,none,planned_local,controller,"ARC public-training holdout","official score; wall time","Strong validation-tuned fixed allocation","No online adaptation",yes,"Primary comparator for C1"
B09_hand_MDL_consistency,repository-local,none,planned_local,ranker,"Frozen candidate pools","recall@k; MRR; exact score","Transparent and cheap","Threshold tuning and limited interactions",yes,"Interpretable selection baseline"
B10_source_specific_rankers,repository-local,none,planned_local,ranker,"Frozen candidate pools","recall@k; calibration; exact score","Preserves source-specific uncertainty scales","More models and calibration data",yes,"Strong control for a unified ranker"
B11_XGBoost,repository-local,none,planned_local,ranker_controller,"Frozen pools; online controller logs","recall@k; official score; cost","Strong tabular nonlinear baseline","No native program semantics",yes,"Accuracy-first learned baseline"
B12_small_MLP,repository-local,none,planned_local,ranker_controller,"Frozen pools; online controller logs","recall@k; official score; cost","Flexible dense policy","Calibration and training variance",yes,"Neural baseline on identical features"
B13_DLGN,"Deep Differentiable Logic Gate Networks",2210.08277,https://github.com/Felix-Petersen/difflogic,ranker_controller,"Frozen pools; online controller logs","recall; official score; latency; soft-hard agreement","Cheap discrete inference and inspectability","Training; scaling and discretization risk",yes,"Tests efficiency hypothesis without assuming accuracy superiority"
B14_contextual_bandit,repository-local,none,planned_local,controller,"Online ARC public-training holdout","official score; regret proxy; wall time","Lightweight adaptive allocation","Partial feedback and delayed reward",yes,"Strong simple adaptive control"
B15_expensive_holistic_judge,"Modality-Driven Search with Holistic Trace Judging",2606.31543,https://github.com/beetree/ARC-AGI,selector,"ARC-AGI-2 public and semi-private","exact score; cost","Strong cross-candidate comparison","Closed models; high cost; incomparable offline protocol",no,"Reference upper-cost system; not resource matched for primary non-API claim"
B16_oracle,offline_analysis,none,none,oracle,"Synthetic and frozen candidate pools","coverage ceiling; action value ceiling","Locates bottlenecks","Not deployable and may use hidden truth",yes,"Diagnostic ceiling only; never a policy input"
