component_id,name,role,input_format,output_format,is_novel,replaceable_by,ablation_priority,notes,status
M01,Task loader and scorer,"Pin data and enforce official pair-fraction plus strict all-pairs diagnostics","Official task JSON and at most two answer grids per test pair","Task and dataset score records",no,"Official scorer or audited equivalent",high,"Infrastructure only; current implementation verified by Phase-0 smoke",verified_smoke
M02,Full multi-view parser,"Maintain alternative pixel; object; relation; line; frame; motif; panel and symmetry hypotheses","Demonstrations and test grids","ParseHypothesis beam",no,"Single segmentation; pixel-only; external parser",high,"Umbrella component includes connected objects plus lines; corners; frames; motifs; panels and symmetry; M02a alone is not completion of M02",planned
M02a,Connected-component parse bundle,"Enumerate low-cost alternative background; connectivity and color-mode object views with provenance","Validated demonstration and query-input grids","Immutable connected objects; holes; bounding boxes and sparse touching or containment relations",no,"One fixed background/connectivity segmentation; pixel-only view",high,"E01a subset only: enumerate no-background and observed-color hypotheses with 4/8 connectivity and single/multicolor components; excludes lines; corners; frames; motifs; panels and symmetry",verified_control
M02b,Separator and panel parse bundle,"Enumerate independent full-span separator and panel-lattice hypotheses without changing M02a identities","Validated demonstration and query-input grids","Versioned separator bands; indexed ragged panel views; parse sidecar",no,"No panel view; task-specific split; external parser",high,"afts-full-span-panels/v0.1; verified on generator-known controls and the fixed development smoke; preserves byte-identical public M02a parses; its 92e50de0 lattice is consumed by the separately verified M05e action",verified_control
M02c,Axis-ray rectangle-contact relation sidecar,"Record external singleton-to-solid-rectangle row/column rays without changing M02a or M02b identities","Blind grids plus the fixed 4-connected single-color M02a view","Content-addressed marker/anchor IDs; direction; gap; clear-ray and projected-boundary diagnostics",no,"Task-specific ray macro; rewriting M02a relations; generic scene graph",high,"afts-axis-aligned-bbox-contact/v0.1 is verified in results/e01a_bbox_contact_v1; the additive sidecar replays exactly while public M02a/M02b bytes remain frozen; only 1f642eb9 is added and arbitrary relations remain outside scope",verified_control
M03,Shape proposer,"Generate output dimension hypotheses","Task and parse features","Ranked shape candidates",no,"Oracle shape; separate learned model; rule enumeration",high,"Umbrella component remains incomplete; M03a verifies direct axis-integer multiplication only and excludes constants; reductions; transposed ratios; crop-derived sizes and feature formulas",planned
M03a,Axis-integer shape proposer,"Infer one consistent positive integer output/input ratio from all demonstrations and project it onto query-input dimensions","BlindTask demonstrations plus query inputs only","Content-addressed input-basis factor and bounded query-shape proposals",no,"No explicit shape proposal; exhaustive factor enumeration; learned shape model",high,"afts-output-shape/v0.1; records identity but emits scale/tile options only for non-identity ratios; query outputs are unavailable",verified_control
M04,Masked grid generator,"Generate diverse categorical output grids","Task; shape; augmentation; seed","Grid candidates and uncertainty",no,"Autoregressive grid model; recursive network; rules",high,"Existing ARChitects precedent; not novel alone",planned
M04a,Global masked-grid candidate source,"Generate a frozen full-mask categorical candidate pool before local repair","Blind task/test pair; up to four M03a shapes; frozen checkpoint; lane seed","64 lane rows; replay traces; grid candidates; encoder/decoder/pair cost ledgers or explicit no-shape failure",no,"Autoregressive grid model; cold-restart Mask-Predict; larger masked model",high,"Pre-implementation contract: notes/design/m04a-global-masked-grid-contract.md; Grid-CMLM and 12-step 64-lane sampler are pre-registered; no implementation, checkpoint, candidate pool, or result exists",planned
M05,Typed DSL,"Represent executable compositional rules","Parsed states; typed values and bindings","Typed AST programs",no,"Alternative ARC DSL or Python",high,"v0.6 adds the M02c-bound paint_bbox_contacts action after v0.5 periodic broadcast; the fixed post-hoc smoke reaches 40% strict/task-first coverage; this is not holdout generalization",verified_control
