experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes
M04a_global_source_freeze,candidate_source_control,C1,"Sanitized ARC-AGI-2/ReARC train and clean-validation shards; generator-known post-freeze suite; full fixed 20-task ARC-AGI-2 public-training development smoke","validation masked-cell CE; exact parameter/data/cost closure; raw/valid/unique candidates; source-only; DSL-only; union and M04a marginal exact output coverage","Frozen DSL v0.6 pool; full-mask cold restart with the identical blind M03a shape sidecar","Pre-registered 8,733,706-parameter Grid-CMLM with 12-step cosine MaskGIT sampling and 64 lanes per shape-supported test pair","Determine whether a small global masked source contributes any reproducible exact output absent from DSL v0.6; zero remains a valid result",planned,"Contract: notes/design/m04a-global-masked-grid-contract.md. This row registers source freeze before implementation; no M04a code, checkpoint, candidate pool, or result exists. It does not test local repair; learned routing; holdout transfer or E01b heterogeneous complementarity"
E00,harness,INFRA,"Tiny fixtures plus pinned ARC public-training samples","unit-test pass; official pair-fraction score; strict all-pairs rate; deterministic hashes","official scorer semantics; deterministic D4 smoke","Phase-0 loader; scorer; immutable candidate record; provenance","All schema and score edge cases pass; smoke artifacts are internally consistent",verified,"Current source-bound runs: results/e00_harness_v2/d4_arc_agi_1_training_20260711_v7 and d4_arc_agi_2_training_20260711_v7; legacy runs are retained but do not bind the current source; this is infrastructure evidence and not a solver claim"
E01a_symbolic_coverage,symbolic_control,C1,"Generator-known grammar-aligned synthetic controls v0.1; then ARC-AGI-2 public-training development smoke","synthetic generator-program recall; semantic output coverage; pair-level oracle output coverage@k; strict task coverage; unique outputs; expansions and executor errors","identity and atomic D4/color rules; typed DSL bounded search","M02a connected-component parse bundle plus compact typed DSL and bounded short-program search","Establish deterministic symbolic-pool integrity and measure its bounded grammar ceiling before learned routing",verified,"results/e01a_symbolic_v1: synthetic 21-task control has 100% semantic/output coverage@1 and generator replay/evaluated/retained rates; pinned public-training development smoke has task-first coverage@1=0.10, micro pair coverage@1=2/21=0.095238, strict task coverage=0.10, with no gain through k=128. Synthetic v0.1 is grammar-aligned only; M02a is not full M02; real result is development smoke, not holdout or public evaluation"
E01a_shape_expansion,symbolic_control,C1,"Generator-known grammar-aligned synthetic controls v0.2; identical fixed 20-task ARC-AGI-2 public-training development smoke","shape-proposal ledger; semantic/output coverage; pair and strict task coverage@k; unique outputs; expansions; executions; overflow invalids","E01a v1 fixed depth=2 beam=64 instruction cap=64 retained cap=128","M03a axis-integer shape proposals plus DSL v0.2 scale_pixels/tile_grid","Recover the two post-hoc diagnosed scale/tile failures without losing old solved tasks or increasing the declared search cap",verified,"results/e01a_shape_v1: 27-task synthetic control has 100% semantic/output coverage@1 and generator replay/evaluated/retained rates; identical 20-task development smoke improves task-first/strict coverage from 0.10 to 0.20 and micro pair coverage from 2/21 to 4/21 using 46,053 expansions and 209,817 executions. Both eval bundles pass full parent replay. This is post-hoc development evidence, not holdout generalization, full M03, M02b, source complementarity, or public evaluation"
E01a_panel_expansion,symbolic_control,C1,"Generator-known grammar-aligned synthetic controls v0.3; identical fixed 20-task ARC-AGI-2 public-training development smoke","panel-parse/proposal ledger; semantic/output coverage; pair and strict task coverage@k; unique outputs; expansions; executions; invalid outcomes","E01a shape v1 fixed depth=2 beam=64 instruction cap=64 retained cap=128","Independent M02b full-span panel view plus DSL v0.3 ordered transparent overlay","Recover the post-hoc diagnosed a68b268e failure while preserving old solved tasks and treating 92e50de0 as representation-only",verified,"results/e01a_panel_v1: both new three-task panel families have exact generator-AST and semantic/output coverage@1=1.0; all 33 controls have semantic/output coverage@1=1.0, while exact generator-AST identity is 30/33 because the depth-1 semantic-deduplicated frontier selects equivalent prefixes and the old crop_rotate90 generator compositions are not evaluated. The identical development smoke improves task-first/strict coverage from 0.20 to 0.25 and micro pair coverage from 4/21 to 5/21 using 46,161 expansions and 210,573 executions. Both eval bundles pass full parent replay. This is post-hoc development evidence, not holdout generalization, full M02, periodic panel broadcast, source complementarity, or public evaluation"
E01a_panel_d4_expansion,symbolic_control,C1,"Generator-known grammar-aligned synthetic controls v0.4; identical fixed 20-task ARC-AGI-2 public-training development smoke","M05d proposal/trial/demo-execution/cap ledger; semantic/output coverage; pair and strict task coverage@k; unique outputs; expansions; executions; invalid outcomes","E01a panel v1 fixed depth=2 beam=64 instruction cap=64 retained cap=128","DSL v0.4 indexed single-axis panel-sequence D4 group action over unchanged M02b views","Recover the post-hoc diagnosed 8e5a5113 failure while preserving the prior five solved tasks and keeping 92e50de0 outside the equal-shape single-axis contract",verified,"results/e01a_panel_d4_v1: all 39 controls have semantic/output coverage@1=1.0; both new three-task M05d families have generator evaluated/retained rates 1.0, with atomic exact generator-AST 3/3@1 and composition 2/3@1, 3/3@8. The identical development smoke improves task-first/strict coverage from 0.25 to 0.30 and micro pair coverage from 5/21 to 6/21 at unchanged 46,161 expansions and 210,573 program executions, plus separately recorded 224 D4 trials and 800 demo pre-executions. Both eval bundles pass full parent replay. This is post-hoc development evidence, not holdout generalization, two-axis periodic broadcast, heterogeneous source complementarity, or public evaluation"
E01a_panel_periodic_expansion,symbolic_control,C1,"Generator-known grammar-aligned synthetic controls v0.5; identical fixed 20-task ARC-AGI-2 public-training development smoke","M05e structural/bound/proposal/trial/demo-execution/cap ledger; semantic/output coverage; pair and strict task coverage@k; invalid and clipping outcomes","E01a panel-D4 v1 fixed depth=2 beam=64 instruction cap=64 retained cap=128","DSL v0.5 two-axis periodic panel broadcast with bottom/right suffix clipping over unchanged M02b views","Recover the post-hoc diagnosed 92e50de0 failure while preserving the prior six solved tasks and separating periodic rendering from relational selectors",verified,"results/e01a_panel_periodic_v1: all 45 controls have generator evaluated/retained and semantic/output coverage@1=1.0; exact generator AST is 44/45@1 and 45/45@8, while both new three-task families are 3/3@1. The identical development smoke improves task-first/strict coverage from 0.30 to 0.35 and micro pair coverage from 6/21 to 7/21. Same caps yield 48,177 expansions and 218,637 program executions versus 46,161/210,573 because 36 periodic options enlarge the 92e50de0 semantic frontier; periodic prechecks are separately 100 structural checks, 36 trials and 108 demo executions. Both eval bundles pass full parent replay. This is post-hoc development evidence, not holdout generalization, arbitrary stamping, source complementarity, or public evaluation"
E01a_bbox_contact_expansion,symbolic_control,C1,"Generator-known grammar-aligned synthetic controls v0.6; identical fixed 20-task ARC-AGI-2 public-training development smoke","M02c sidecar replay; relation/binding/trial/demo/cap ledger; semantic/output coverage; pair and strict task coverage@k; invalid outcomes","E01a periodic v1 fixed depth=2 beam=64 instruction cap=64 retained cap=128","Additive M02c axis-ray rectangle-contact relation sidecar plus DSL M05f paint_bbox_contacts over byte-frozen M02a/M02b views","Recover at most the post-hoc diagnosed 1f642eb9 failure while preserving the prior seven solved tasks and keeping multi-anchor movement outside scope",verified,"results/e01a_bbox_contact_v1: all 51 synthetic controls have generator replay/evaluated/retained and semantic/output coverage 1.0; exact generator AST is 38/51@1 and 51/51@8, including new atomic 3/3@1 and new composition 3/3@8. The identical development smoke improves task-first/strict coverage from 0.35 to 0.40 and micro pair coverage from 7/21 to 8/21 by adding only 1f642eb9. Same caps and post-cap option count retain 48,177 expansions and 218,637 program executions; M02c/M05f separately records 100 structural checks, 216 relation checks, one trial and three demo pre-executions. Both eval bundles pass full parent replay. This is post-hoc development evidence, not holdout generalization, nearest-anchor motion, arbitrary line drawing, heterogeneous source complementarity, or public evaluation"
E01b_heterogeneous_marginal_coverage,coverage,C1,"Controlled synthetic OOD plus a frozen ARC-AGI-2 public-training holdout","pair-level oracle output coverage@k; strict task coverage; unique outputs; per-source and union marginal solved pairs; source complementarity at matched cost","DSL; masked grid diffusion; code model; rule source; matched-budget static union","Heterogeneous source union with canonical output deduplication","At least two non-symbolic or symbolic sources add reproducible non-duplicate correct-output coverage at matched budgets",planned,"Run only after diffusion; code and rule sources are frozen; E01a control results do not satisfy this experiment; report source budgets and post-deduplication marginal coverage"
E02,filter_safety,C3,"Generator-known synthetic tasks plus frozen real candidate pools","synthetic true-path recall; correct-output survival; expansions; timeout; official two-attempt score","no mask; fixed mask; dynamic binary mask; four-valued mask; mask plus escape","Conservative dynamic legality mask","Reduce expansions while meeting a predeclared survival floor",planned,"True-path recall is unavailable on real ARC without a known generating program"
E03,frozen_pool_ranking,C4,"Task-grouped public-training candidate pools","pair-level recall@k; MRR; calibration; official two-attempt score","source confidence; MDL; logistic; tree; per-source ranker; XGBoost; MLP; DLGN","Source-calibrated candidate ranker","Improve ranking on an identical frozen pool without task-ID features",planned,"This protocol evaluates rankers only; it does not evaluate online functional switching"
E04,grid_repair,C2,"Synthetic perturbations plus naturally occurring public-training near misses","exact pair recovery per model call; official two-attempt gain; duplicate rate","cold restart; random mask; Mask-Predict; ReMDM; global soft mask; oracle mask ceiling","Deployable residual-directed grid mask","Deployable mask beats restart at matched calls; oracle mask quantifies repairer ceiling",planned,"Policy input excludes oracle query residual; stratification by oracle error is analysis-only"
E05,program_repair,C2,"Generator-known compositional OOD plus public-training near misses","exact pair recovery; valid-program rate; executor calls; wall time","typed mutation; beam continuation; full resynthesis; syntax-tree diffusion","Counterexample-guided typed AST or argument repair","Repair improves exact recovery at matched execution budget",planned,"Program diffusion is prior art; novelty cannot be claimed from this experiment alone"
E06,online_controller,C1,"Pre-registered ARC-AGI-2 public-training holdout","official two-attempt pair-fraction score at primary budget B; paired task delta; wall time","validation-tuned static weighted schedule; round robin; contextual bandit","Preselected execution-aware next-action controller","Primary delta is at least the predeclared minimum effect and paired 95% CI lower bound exceeds zero",planned,"Online matched-budget protocol; fixed generator checkpoints; action space; seed policy and resource ledger"
